,vlaznost,kiselost,azot,svetlost,temperatura
72.0,2.5277777777777777,2.9722222222222223,2.236111111111111,2.888888888888889,2.8333333333333335
73.0,1.5777777777777777,3.066666666666667,1.711111111111111,3.022222222222222,2.7555555555555555
74.0,1.7906976744186047,3.2325581395348837,1.813953488372093,2.9767441860465116,2.604651162790698
75.0,1.6785714285714286,3.125,1.7142857142857142,2.9107142857142856,2.7857142857142856
76.0,2.296875,3.40625,2.390625,3.703125,3.078125
77.0,1.7857142857142858,3.0238095238095237,1.8095238095238095,3.4285714285714284,2.857142857142857
78.0,2.4150943396226414,3.0,2.3962264150943398,3.358490566037736,2.811320754716981
79.0,1.9827586206896552,3.1551724137931036,2.189655172413793,3.1379310344827585,2.896551724137931
80.0,1.553191489361702,3.2127659574468086,1.7659574468085106,2.9148936170212765,2.74468085106383
81.0,2.076923076923077,3.4923076923076923,2.2615384615384615,3.4923076923076923,3.3076923076923075
82.0,1.255813953488372,2.5348837209302326,1.441860465116279,2.7906976744186047,2.372093023255814
83.0,3.03125,2.78125,2.09375,3.125,2.625
84.0,1.3333333333333333,3.0,1.4545454545454546,3.121212121212121,2.757575757575758
85.0,1.5294117647058822,3.2941176470588234,1.588235294117647,3.1470588235294117,3.5
86.0,1.8333333333333333,3.7142857142857144,1.9761904761904763,3.642857142857143,3.761904761904762
87.0,1.4594594594594594,3.2432432432432434,1.7297297297297298,3.27027027027027,3.189189189189189
88.0,1.875,2.9166666666666665,2.2083333333333335,3.2916666666666665,2.5
89.0,1.0263157894736843,2.763157894736842,1.4210526315789473,2.9473684210526314,2.710526315789474
90.0,2.9523809523809526,2.761904761904762,2.4761904761904763,2.619047619047619,2.9523809523809526
91.0,2.1538461538461537,3.923076923076923,1.8461538461538463,3.1538461538461537,3.5384615384615383
92.0,1.9268292682926829,3.048780487804878,1.829268292682927,2.8048780487804876,2.8536585365853657
93.0,1.2941176470588236,2.5294117647058822,1.4411764705882353,2.5588235294117645,2.5294117647058822
94.0,1.7878787878787878,3.4242424242424243,1.7878787878787878,3.5757575757575757,3.909090909090909
95.0,1.0344827586206897,1.5172413793103448,0.8275862068965517,1.5172413793103448,1.4482758620689655
96.0,2.0,2.7142857142857144,1.8928571428571428,3.2142857142857144,2.857142857142857
97.0,1.0555555555555556,1.9444444444444444,1.2222222222222223,2.2222222222222223,2.111111111111111
98.0,2.230769230769231,2.730769230769231,2.1923076923076925,2.923076923076923,2.6153846153846154
99.0,1.48,1.8,1.84,2.08,2.08
100.0,1.3125,2.8125,1.3125,2.6875,3.0625
101.0,1.4782608695652173,2.9130434782608696,1.7391304347826086,3.391304347826087,3.4347826086956523
102.0,2.3421052631578947,2.6842105263157894,2.4473684210526314,2.6315789473684212,2.736842105263158
103.0,2.339622641509434,3.169811320754717,2.339622641509434,3.1320754716981134,3.150943396226415
104.0,1.52,2.36,1.72,2.44,2.16
105.0,1.9259259259259258,2.740740740740741,1.9259259259259258,3.185185185185185,2.740740740740741
106.0,1.9666666666666666,2.6333333333333333,2.2333333333333334,3.066666666666667,2.6
107.0,1.1515151515151516,1.8484848484848484,1.1515151515151516,2.1818181818181817,1.8484848484848484
108.0,1.92,2.44,1.92,2.8,2.6
109.0,1.375,1.75,1.3333333333333333,2.2916666666666665,2.0
110.0,2.03125,2.96875,2.0,3.15625,2.78125
111.0,1.3870967741935485,2.0,1.4516129032258065,2.3225806451612905,2.0
112.0,1.3870967741935485,2.161290322580645,1.1290322580645162,2.5483870967741935,2.161290322580645
113.0,2.0,2.727272727272727,2.272727272727273,3.5,3.272727272727273
114.0,0.43478260869565216,0.782608695652174,0.30434782608695654,0.8695652173913043,0.7391304347826086
115.0,1.5,1.8333333333333333,1.1666666666666667,2.3333333333333335,1.9444444444444444
116.0,1.1111111111111112,2.2222222222222223,1.4444444444444444,2.1666666666666665,2.111111111111111
117.0,1.206896551724138,2.0689655172413794,1.4482758620689655,2.4827586206896552,2.1379310344827585
118.0,1.7058823529411764,1.8235294117647058,1.3529411764705883,2.235294117647059,2.3529411764705883
119.0,0.75,0.75,0.5,0.875,0.875
120.0,1.608695652173913,2.782608695652174,1.608695652173913,3.217391304347826,2.782608695652174
