RedniBroj,Takson,Brojnost,Pokrovnost,Spratovnost,Broj_snimka,pokrovnost_snimka_po_zonama,Datum,Lokalitet,Vlažnost_Kojić1997,Kiselost_Kojić1997,Azot_Kojić1997,Svetlost_Kojić1997,Temperatura_Kojić1997,sintaksonomski element,LIGHT_Tichy_etal2023,TEMPERATURE_Tichy_etal2023,MOISTURE_Tichy_etal2023,REACTION_Tichy_etal2023,NUTRIENTS_Tichy_etal2023,SALINITY_Tichy_etal2023
23,Ophrys grammica,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
24,Orchis purpurea,2,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
25,Artemisia annua,4,6,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,3,4,4,4,nema,8.3,6.8,4.1,6.6,5.8,0.2
26,Globularia cordifolia,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,5,1,5,2,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",9,3.8,3.6,9,1.5,0
27,Carex caryophyllea,4,4,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
28,Fragaria viridis,2,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,4,2,3,4,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",6.8,x,3.7,7.6,3.4,0.2
29,Satureja kitaibelii,1,2,C,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
30,Juniperus communis,1,3,B2,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,nema,8.1,3.8,x,x,2.6,0
31,Crataegus monogyna,1,2,B2,3,B2 - 10%; C - 90%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,2,4,3,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",7,x,4.4,x,x,0
32,Ophrys grammica,3,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
33,Orchis purpurea,2,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
34,Festuca vallesiaca,4,7,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,1,3,2,4,4,nema,8.1,x,3,7.1,2.4,1.1
35,Fragaria vesca,3,3,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,3,3,3,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",6.7,x,4.9,6.8,5,0
36,Pyrus communis,2,3,B2,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,3,3,4,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",6.1,6,5,x,x,0
37,Juniperus communis,1,2,B2,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,nema,8.1,3.8,x,x,2.6,0
38,Plantago media,3,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,4,2,4,3,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",7.5,5.3,4.1,6.8,2.9,0
39,Crataegus monogyna,1,1,B2,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,2,4,3,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",7,x,4.4,x,x,0
40,Artemisia annua,1,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,3,4,4,4,nema,8.3,6.8,4.1,6.6,5.8,0.2
41,Chamaecytisus hirsutus,2,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",7.3,x,3.8,6.7,2.1,0
42,Sanguisorba minor,1,1,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,4,2,4,3,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",7.4,6.1,3.4,7.4,2.5,0.1
43,Abietinella abietina,0,0,C1,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
44,? Astragalus sp.,2,2,C,4,B2 - 5%; C - 100%; C1 - 50%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
45,Ophrys grammica,4,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
46,Gymnadenia conopsea subsp. conopsea,3,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,2,3,3,nema,7.6,4.6,6.2,7.4,2.7,0
47,Orchis purpurea,2,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
48,Juniperus communis,1,4,B2,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,nema,8.1,3.8,x,x,2.6,0
