RedniBroj,Takson,Brojnost,Pokrovnost,Spratovnost,Broj_snimka,pokrovnost_snimka_po_zonama,Datum,Lokalitet,Vlažnost_Kojić1997,Kiselost_Kojić1997,Azot_Kojić1997,Svetlost_Kojić1997,Temperatura_Kojić1997,sintaksonomski element,LIGHT_Tichy_etal2023,TEMPERATURE_Tichy_etal2023,MOISTURE_Tichy_etal2023,REACTION_Tichy_etal2023,NUTRIENTS_Tichy_etal2023,SALINITY_Tichy_etal2023
220,Potentilla incana,3,3,C,16,C - 80%; C1 - 60%; zemlja 5%,26.4.2023,Vojnici,1,4,2,4,4,"5,3 - Klasa Festucetea vaginatae Soo 1968 em. Vich. 1972: Psamofitske zajednice, kao i zajednice razvijene na plitkim zemljištima ili kamenjarima, pretežno na serpentinu",8.6,6.6,2,8,1.3,0
221,MAHOVINE1,0,0,C1,16,C - 80%; C1 - 60%; zemlja 5%,26.4.2023,Vojnici,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
222,MAHOVINE2,0,0,C1,16,C - 80%; C1 - 60%; zemlja 5%,26.4.2023,Vojnici,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
223,Platanthera sp.,1,1,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
224,Orchis purpurea,1,1,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
225,Carpinus orientalis,1,6,B2,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,2,5,1,4,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",4.7,7.4,4,7.5,4.5,0
226,Helleborus odorus,2,3,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,3,1,2,3,4,nema,5,7.3,4.5,7,5,0
227,Fragaria vesca,4,4,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,3,3,3,3,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",6.7,x,4.9,6.8,5,0
228,Lamium purpureum,2,2,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,3,4,4,4,3,"7,711 - Sveza Polygono-Chenopodion Koch 1926 em. Sissingh. 1946: Piroko rasprostranjene segetalne korovske zajednice okopavina na mezofilnim, umereno toplim staništima",7.2,x,x,6.6,6.8,0
229,MAHOVINE,0,0,C1,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
230,? Carex sp.,2,3,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
231,? Festuca sp.,2,3,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
232,Potentilla incana,1,2,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,1,4,2,4,4,"5,3 - Klasa Festucetea vaginatae Soo 1968 em. Vich. 1972: Psamofitske zajednice, kao i zajednice razvijene na plitkim zemljištima ili kamenjarima, pretežno na serpentinu",8.6,6.6,2,8,1.3,0
233,Viola sp.,3,2,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
234,Noccaea perfoliata (Syn. Thlaspi perfoliatum),3,1,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,2,4,2,4,4,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.1,6.1,3.4,7.5,2.8,0
235,? Cardamine sp.,2,1,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
236,Stellaria holostea,2,2,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,3,3,3,2,4,"1,1 - Klasa Querco-Fagetea Br.-Bl. et Vlieg. 1937: listopadne šume i šibljaci na bogatijem neutralnom, baznom ili slabo kiselom zemljištu",x,x,5.5,5.7,4.9,0
237,Valerianella locusta ( ? hirsuta),2,2,C,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,3,3,3,4,3,"7,7 - Klasa Stellarietea mediae R.Tx., Logm. et Prsg. 1950: Antropogene segetalne korovske zajednice okopavanih useva, voćnjaka i vinograda",7.4,5.8,4.2,6.7,5.3,0
238,LIŠAJEVI,0,0,C1,17,"B2 - 60%; C - 20%; C1 - 50%; zemlja 20%, kamen 1%",26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
239,Anacamptis morio subsp. caucasica,1,2,C,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
240,Rosa canina,1,2,B2,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,3,3,2,3,3,"1,15 - Red Prunetalia spinosae R.Tx. 1952: Vegetacija šibljaka sa dominacijm vrsta roda Prunus",7.5,x,x,7,x,0
241,? Festuca sp.,4,6,C,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
242,Teucrium chamaedrys,4,5,C,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,1,4,1,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.4,6.5,2.6,8,1.6,0
243,Potentilla incana,2,3,C,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,1,4,2,4,4,"5,3 - Klasa Festucetea vaginatae Soo 1968 em. Vich. 1972: Psamofitske zajednice, kao i zajednice razvijene na plitkim zemljištima ili kamenjarima, pretežno na serpentinu",8.6,6.6,2,8,1.3,0
244,Chrysopogon gryllus,2,3,C,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,2,3,2,4,5,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.5,x,3.8,7.3,3,0
245,MAHOVINE,0,0,C1,18,B2 - 5%; C - 100%; C1 - 40%,26.4.2023,Kostur,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
0,Luzula campestris,2,2,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,3,3,2,4,3,"4,6 - Klasa NARDO-CALLUNETEA Preisg. 1949: Planinski pašnjaci u kojima dominira tipac",7.3,x,x,x,2.3,0
246,Anacamptis morio subsp. caucasica,3,3,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
247,MAHOVINE,0,0,C1,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
248,LIŠAJEVI - Cladonia sp.,0,0,C1,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
249,Carex caryophyllea,4,3,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
250,Silene viscaria (Silene asterias?),2,3,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,4,1,4,4,3,nema,7.3,x,3.5,4,2.2,0
251,Crataegus monogyna,1,2,B2,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,3,4,2,4,3,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",7,x,4.4,x,x,0
252,Hypochaeris maculata,2,3,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,2,3,2,3,3,"5,2 - Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.7,5.8,4.2,6.8,2.5,0
253,Achillea millefolium agg. ,3,2,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,2,3,3,4,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",7.9,x,4.1,5.8,x,0.9
254,? Festuca sp. (Gigantea),4,4,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
255,Plantago lanceolata (argentea agg),1,2,C,19,B2 - 5%; C - 30%; C1 - 40%; zemlja 40%,26.4.2023,Pasjač-Rasnica,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.1,5.3,4.5,5.9,4.8,0.3
256,Orchis purpurea,2,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
257,Taraxacum officinalis agg.,2,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,3,4,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",7.2,x,5.1,6.2,7,0.7
258,Cerinthe minor,1,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,2,4,3,4,5,"7,7 - Klasa Stellarietea mediae R.Tx., Logm. et Prsg. 1950: Antropogene segetalne korovske zajednice okopavanih useva, voćnjaka i vinograda",7.6,x,4.3,6.8,4.2,0
259,Ranunculus millefoliatus,2,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,0,0,0,0,0,nema,8,7.2,x,7.3,3.8,0
260,Carex flacca,4,3,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,4,3,3,3,nema,7.2,x,6.1,7.3,2.8,0.6
261,Helleborus odorus,1,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,1,2,3,4,nema,5,7.3,4.5,7,5,0
262,Trifolium pratense,2,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,4.3,x,5.9,x,0.1
263,Achillea millefolium agg. ,4,4,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,2,3,3,4,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",7.9,x,4.1,5.8,x,0.9
264,Plantago media,2,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,2,4,2,4,3,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",7.5,5.3,4.1,6.8,2.9,0
265,Bellis perenis,3,3,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,3,3,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",8.1,x,x,5.2,x,0.1
266,Plantago argentea agg,3,3,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,1,4,2,4,4,nema,7.3,x,3,8,2,0
267,Veronica chamaedrys,3,3,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,3,3,3,3,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",6.6,x,4.6,6.5,4.9,0
268,Ophrys scolopax subsp. cornuta,2,2,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,0,0,0,0,0,nema,7.8,8.4,3.2,7.4,2.5,0
269,Vicia sp.,2,3,C,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
270,MAHOVINE,0,0,C1,20,C - 80%; C1 - 50%; 20% zemlja,27.4.2023,Radinjinci,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
271,Anacamptis morio subsp. caucasica,2,2,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
272,Ranunculus millefoliatus,1,2,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,0,0,0,0,0,nema,8,7.2,x,7.3,3.8,0
273,Taraxacum officinalis agg.,3,3,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,3,3,4,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",7.2,x,5.1,6.2,7,0.7
274,Equisetum arvense,2,2,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,4,3,2,4,3,"5,11 - Red Molinietalia W. Koch 1926: Subkontinentalne higrofilne livadske zajednice na močvarnom, dubokom zemljištu, izvan poplavne zone",6.7,x,x,5.8,4.4,0.1
275,Trifolium pratense,4,4,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,4.3,x,5.9,x,0.1
276,Cruciata glabra subsp. glabra (Syn. Galium vernum),3,3,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,2,4,2,4,3,nema,6.9,x,x,5.8,x,0
277,Ranunculus polyanthemos,1,2,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,2,3,2,3,4,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",x,5.2,x,x,x,0
278,? Carex sp.,4,3,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
279,Bellis perenis,3,3,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,3,3,3,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",8.1,x,x,5.2,x,0.1
280,Plantago media,2,2,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,2,4,2,4,3,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",7.5,5.3,4.1,6.8,2.9,0
281,Cerastium hirsutum,1,2,C,21,C - 95%; C1 - 40%; 5% zemlja,27.4.2023,Radinjinci,3,3,3,4,3,"7,711 - Sveza Polygono-Chenopodion Koch 1926 em. Sissingh. 1946: Piroko rasprostranjene segetalne korovske zajednice okopavina na mezofilnim, umereno toplim staništima",,,,,,
282,Anacamptis morio subsp. caucasica,3,2,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
283,Trifolium pratense,4,5,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,4.3,x,5.9,x,0.1
284,Fragaria vesca,3,3,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,3,3,3,3,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",6.7,x,4.9,6.8,5,0
285,MAHOVINE,0,0,C1,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
286,Carex caryophyllea,2,3,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
287,Ranunculus bulbosus ?,2,1,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,2,4,2,4,3,"5,211 - Sveza Bromion erecti Br.-Bl. 1936: Kserofilne livadske biljne zajednice ili kseromezofilne, pa čak i mezofilne",x,x,3.9,6.5,2.9,0
288,? Festuca sp.,4,5,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
289,Ranunculus lanuginosus,4,4,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,0,0,0,0,0,nema,3.3,5,6.2,7,7,0
290,Colchicum sp.,2,2,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
291,Polygala sp.,1,2,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
292,Ranunculus 3.,1,2,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
293,Taraxacum officinalis agg.,2,1,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,3,3,4,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",7.2,x,5.1,6.2,7,0.7
294,Plantago lanceolata,1,2,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.1,5.3,4.5,5.9,4.8,0.3
295,Lotus corniculatus,4,6,C,22,"C - 90%, C1 - 30%; 10% zemlja",27.4.2023,Mezgraja,2,4,3,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.3,5,x,6.6,2.5,0.4
296,Anacamptis morio subsp. caucasica,4,3,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
297,Silene conica,2,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,1,3,2,4,4,"7,2 - Klasa Chenopodietea Br.-Bl. 1951 em. Lohm., J. et R.Tx. 1961: Nitrofilne ruderalne zajednice zapuštenih terena ili njivskih okopavina sa slabijom primenom agrotehničkih mera",8.6,7.6,1.8,x,2.5,0.2
298,Parentucellia latifolia,2,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,0,0,0,0,0,nema,8,8.8,3,5.7,3.7,0.5
299,Potentilla argentea,3,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,1,2,1,4,3,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",8.6,x,2.7,4.4,1.6,0
300,Poa bulbosa,4,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,2,3,2,4,4,"5,2 - Klasa Festuco-Brometea Br.-Bl. 1936: Kserofilne polukserofilne livadske, livadsko-stepske i stespke biljne zajednice",8.2,6.8,2.8,5.4,2,0.6
301,Teucrium chamaedrys,3,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,1,4,1,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.4,6.5,2.6,8,1.6,0
302,Alyssum montanum (Arabis sp.),4,5,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,1,4,1,4,4,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",8.8,x,2.5,x,1.5,0
303,Myosotis ramosissima,2,3,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,1,3,2,4,3,nema,8.5,x,2.5,x,x,0
304,Carex caryophyllea,4,3,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
305,? Festuca sp.,4,5,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
306,Vicia sp.,3,4,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
307,Rosa canina,1,2,B2,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,3,3,2,3,3,"1,15 - Red Prunetalia spinosae R.Tx. 1952: Vegetacija šibljaka sa dominacijm vrsta roda Prunus",7.5,x,x,7,x,0
308,Plantago argentea,2,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,1,4,2,4,4,nema,7.3,x,3,8,2,0
309,Anthoxanthum odoratum (mislili smo da je  Alopecurus sp.),3,1,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,3,2,3,4,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,3.9,x,x,3.2,0.1
310,Trifolium pratense,2,2,C,23,"B2 - 1%, C - 80%, C1 - 30%, 30 %  zemlja",28.4.2023,Prohor Pčinjski,3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,4.3,x,5.9,x,0.1
311,Orchis purpurea,4,3,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
312,Trifolium pratense,4,4,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),3,3,3,3,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.3,4.3,x,5.9,x,0.1
313,Acer campestre,1,4,B2,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),3,4,3,3,4,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",5.7,x,x,7.3,5.4,0
314,Bellis perenis,4,3,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),3,3,3,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",8.1,x,x,5.2,x,0.1
315,Taraxacum officinalis agg.,3,3,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),3,3,4,4,3,"5,14 - Red Arrhenatheretalia elatioris Pawl. 1928: Dolinske mezofilne livadske i pašnjačke zajednice na dubokom zemljištu, uglavnom bogatom hranjivim mineralnim materijama",7.2,x,5.1,6.2,7,0.7
316,Myosotis ramosissima,4,3,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),1,3,2,4,3,nema,8.5,x,2.5,x,x,0
317,Plantago argentea ?,2,2,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),1,4,2,4,4,nema,7.3,x,3,8,2,0
318,Ranunculus millefoliatus,1,1,C,24,"B2 - 20%, C - 60%, 30% zemlja",28.4.2023,Dolina Pčinja (Pred selo ????? iz Prokora),0,0,0,0,0,nema,8,7.2,x,7.3,3.8,0
